CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ransang,PH,77.72,overcast clouds,8.9603,117.5828,No hotel found
7,Hilo,US,83.28,clear sky,19.7297,-155.09,Dolphin Bay Hotel
14,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Grand Bel Air
15,Kirakira,SB,78.82,broken clouds,-10.4544,161.9205,No hotel found
18,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,The Abidah By Accra
20,Campo Maior,BR,84.96,overcast clouds,-4.8278,-42.1686,Hotel Pousada do Lago
22,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti International Resort
26,Rikitea,PF,79.14,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
37,Olavarria,AR,79.23,few clouds,-36.8927,-60.3225,Santa Rosa Hotel
38,Jacksonville,US,83.08,scattered clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
42,Itarema,BR,83.73,overcast clouds,-2.9248,-39.9167,Pousada Oásis
43,Gizo,SB,81.21,light rain,-8.103,156.8419,Gizo Hotel
50,Ambulu,ID,75.09,overcast clouds,-8.345,113.6058,Hotel Ambulu
54,Atuona,PF,78.66,overcast clouds,-9.8,-139.0333,Pearl Resort
55,Kapaa,US,76.98,light rain,22.0752,-159.319,Pono Kai Resort
57,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
59,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Tropic Hotel
66,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
67,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
74,Hithadhoo,MV,82.53,overcast clouds,-0.6,73.0833,Pebbles Inn
76,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,losmen Surya
79,Boende,CD,77.76,overcast clouds,-0.2167,20.8667,No hotel found
93,Kinablangan,PH,76.73,broken clouds,7.6947,126.5503,No hotel found
95,Carnarvon,AU,82.35,broken clouds,-24.8667,113.6333,No hotel found
97,Savannah Bight,HN,78.76,clear sky,16.45,-85.85,La Giralda
100,Lagos,NG,84.52,clear sky,6.5833,3.75,No hotel found
101,Puerto Baquerizo Moreno,EC,83.39,broken clouds,-0.9,-89.6,Dory's House
103,Caravelas,BR,83.75,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
105,Koumac,NC,77.38,overcast clouds,-20.5667,164.2833,Monitel Koumac
112,Souillac,MU,79.18,light rain,-20.5167,57.5167,Hotel SkylineInn
113,Caracoli,CO,87.94,scattered clouds,6.4119,-74.7606,Ecohostel Caracolí
117,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
119,Port Blair,IN,78.84,mist,11.6667,92.75,Andaman Ocean Breeze
121,Itaituba,BR,87.96,broken clouds,-4.2761,-55.9836,TG Hotel
122,Quibdo,CO,84.54,broken clouds,5.6947,-76.6611,camino real
123,Ewa Beach,US,78.01,clear sky,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
129,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
130,Poya,NC,75.7,overcast clouds,-21.35,165.15,No hotel found
131,Abeche,TD,78.69,few clouds,13.8292,20.8324,فندق قيصر
132,Sayaxche,GT,86.36,clear sky,16.5167,-90.1667,Hotel aqua azul
139,Bandarbeyla,SO,75.52,clear sky,9.4942,50.8122,No hotel found
142,Cidreira,BR,80.08,overcast clouds,-30.1811,-50.2056,Hotel Castelo
144,Butaritari,KI,80.49,light rain,3.0707,172.7902,No hotel found
153,Biltine,TD,79.11,few clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
155,Ugoofaaru,MV,79.97,overcast clouds,5.6667,73.0,No hotel found
156,Labuhan,ID,75.65,light rain,-6.8844,112.2051,No hotel found
158,Itanhem,BR,87.78,clear sky,-17.1664,-40.33,No hotel found
159,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Le Baril
160,Kavieng,PG,81.66,light rain,-2.5744,150.7967,Kavieng Hotel
163,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,No hotel found
166,Cockburn Town,TC,76.84,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
