City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ransang,PH,8.9603,117.5828,77.72,77,100,3.53,overcast clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,72.95,87,75,14.0,moderate rain
2,Suntar,RU,62.1444,117.6319,-4.61,96,100,5.32,overcast clouds
3,Chuy,UY,-33.6971,-53.4616,70.56,87,100,15.43,light rain
4,Mehamn,NO,71.0357,27.8492,24.71,93,75,3.44,light snow
5,Sal Rei,CV,16.1833,-22.9167,71.8,64,75,19.57,broken clouds
6,Airai,TL,-8.9266,125.4092,61.21,96,100,2.95,overcast clouds
7,Hilo,US,19.7297,-155.09,83.28,75,0,5.75,clear sky
8,Busselton,AU,-33.65,115.3333,61.86,80,0,15.79,clear sky
9,Tuatapere,NZ,-46.1333,167.6833,63.66,97,87,3.2,overcast clouds
10,Hobart,AU,-42.8794,147.3294,47.05,93,48,10.36,scattered clouds
11,Knysna,ZA,-34.0363,23.0471,67.69,82,78,3.31,broken clouds
12,San Quintin,MX,30.4833,-115.95,63.0,40,12,3.4,few clouds
13,Civitavecchia,IT,42.0933,11.7967,51.39,82,0,4.52,clear sky
14,Mahebourg,MU,-20.4081,57.7,79.25,83,40,2.3,light rain
15,Kirakira,SB,-10.4544,161.9205,78.82,84,73,3.91,broken clouds
16,Fortuna,US,40.5982,-124.1573,58.93,30,0,21.85,clear sky
17,Kenitra,MA,34.261,-6.5802,50.76,66,0,7.87,clear sky
18,Oistins,BB,13.0667,-59.5333,84.29,58,40,20.71,scattered clouds
19,Norman Wells,CA,65.282,-126.8329,-36.36,67,20,2.3,few clouds
20,Campo Maior,BR,-4.8278,-42.1686,84.96,64,100,2.77,overcast clouds
21,Smithers,CA,54.7804,-127.1743,26.92,86,100,5.75,light snow
22,Vaini,TO,-21.2,-175.2,78.96,89,75,12.66,light rain
23,Saskylakh,RU,71.9167,114.0833,-13.58,99,100,3.11,overcast clouds
24,Nantucket,US,41.2835,-70.0995,35.71,54,0,13.8,clear sky
25,Port Alfred,ZA,-33.5906,26.891,70.18,92,0,1.01,clear sky
26,Rikitea,PF,-23.1203,-134.9692,79.14,72,57,15.39,broken clouds
27,Tiksi,RU,71.6872,128.8694,-25.8,98,92,8.05,overcast clouds
28,San Carlos,VE,9.6612,-68.5827,94.96,24,0,5.01,clear sky
29,Horki,BY,54.2861,30.9842,30.76,98,100,7.49,light snow
30,Tukums,LV,56.9669,23.1553,33.15,78,80,10.74,broken clouds
31,Kushima,JP,31.4583,131.2333,49.42,77,100,3.83,overcast clouds
32,Muros,ES,42.7762,-9.0603,49.08,83,0,3.62,clear sky
33,Deputatskiy,RU,69.3,139.9,-20.06,98,99,2.93,overcast clouds
34,Provideniya,RU,64.3833,-173.3,9.37,94,47,12.35,scattered clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,40,6.91,scattered clouds
36,Hermanus,ZA,-34.4187,19.2345,64.8,76,18,5.03,few clouds
37,Olavarria,AR,-36.8927,-60.3225,79.23,49,18,7.7,few clouds
38,Jacksonville,US,30.3322,-81.6556,83.08,58,40,13.8,scattered clouds
39,Tasiilaq,GL,65.6145,-37.6368,26.76,71,100,17.56,overcast clouds
40,Manzhouli,CN,49.6,117.4333,-0.83,92,100,5.64,overcast clouds
41,Dalian,CN,38.9122,121.6022,25.84,43,0,2.24,clear sky
42,Itarema,BR,-2.9248,-39.9167,83.73,66,100,13.6,overcast clouds
43,Gizo,SB,-8.103,156.8419,81.21,78,100,7.05,light rain
44,Doha,QA,25.2867,51.5333,69.78,76,0,9.22,clear sky
45,Avera,US,33.194,-82.5271,51.39,80,100,3.96,overcast clouds
46,Esperance,AU,-33.8667,121.9,60.37,75,27,10.36,scattered clouds
47,Liverpool,GB,53.4106,-2.9779,52.29,79,75,13.8,broken clouds
48,Severo-Kurilsk,RU,50.6789,156.125,28.85,96,100,44.38,snow
49,Nikolskoye,RU,59.7035,30.7861,30.09,98,100,1.59,light snow
50,Ambulu,ID,-8.345,113.6058,75.09,91,100,2.28,overcast clouds
51,Castro,BR,-24.7911,-50.0119,72.61,87,100,8.84,light rain
52,Namibe,AO,-15.1961,12.1522,73.13,77,82,6.76,broken clouds
53,Ushuaia,AR,-54.8,-68.3,69.46,40,40,13.8,scattered clouds
54,Atuona,PF,-9.8,-139.0333,78.66,79,90,23.02,overcast clouds
55,Kapaa,US,22.0752,-159.319,76.98,94,75,6.91,light rain
56,Newport,GB,51.5877,-2.9984,51.76,91,100,15.39,overcast clouds
57,Georgetown,MY,5.4112,100.3354,78.73,100,20,3.44,few clouds
58,Yellowknife,CA,62.456,-114.3525,-23.28,76,20,10.36,few clouds
59,Saint-Pierre,RE,-21.3393,55.4781,78.48,83,56,11.5,broken clouds
60,Barrow,US,71.2906,-156.7887,-5.78,84,100,14.97,mist
61,Gat,IL,31.61,34.7642,54.28,100,98,7.11,overcast clouds
62,Albany,US,42.6001,-73.9662,37.67,42,7,1.99,clear sky
63,Katsuura,JP,35.1333,140.3,43.77,56,100,13.35,overcast clouds
64,Jamestown,US,42.097,-79.2353,34.72,43,0,19.57,clear sky
65,Bayanday,RU,53.0661,105.5139,-12.24,100,95,1.54,overcast clouds
66,Kahului,US,20.8947,-156.47,79.84,73,20,4.0,few clouds
67,Avarua,CK,-21.2078,-159.775,80.65,89,20,12.66,light rain
68,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,68,40,6.91,scattered clouds
69,Zyryanka,RU,65.75,150.85,-28.19,100,98,3.4,overcast clouds
70,Mataura,NZ,-46.1927,168.8643,62.56,91,16,0.78,few clouds
71,Punta Arenas,CL,-53.15,-70.9167,68.11,37,0,27.63,clear sky
72,Longyearbyen,SJ,78.2186,15.6401,6.64,72,20,18.41,few clouds
73,Lavrentiya,RU,65.5833,-171.0,1.62,92,14,9.01,few clouds
74,Hithadhoo,MV,-0.6,73.0833,82.53,64,86,14.76,overcast clouds
75,Bluff,NZ,-46.6,168.3333,62.1,97,100,5.28,overcast clouds
76,Padang,ID,-0.9492,100.3543,77.05,83,100,4.12,overcast clouds
77,Kuryk,KZ,43.2,51.65,44.2,71,100,9.75,overcast clouds
78,New Norfolk,AU,-42.7826,147.0587,46.71,76,15,2.77,few clouds
79,Boende,CD,-0.2167,20.8667,77.76,67,97,2.06,overcast clouds
80,Qaanaaq,GL,77.484,-69.3632,-2.15,57,0,9.42,clear sky
81,Cherskiy,RU,68.75,161.3,-11.42,100,100,3.96,overcast clouds
82,Henderson,US,36.0397,-114.9819,58.24,32,0,4.61,clear sky
83,Arcata,US,40.8665,-124.0828,59.2,52,100,4.81,overcast clouds
84,Lebu,CL,-37.6167,-73.65,63.61,66,0,22.97,clear sky
85,Lapua,FI,62.9693,23.0088,27.1,95,99,6.17,overcast clouds
86,Nenjiang,CN,49.1833,125.2167,-20.02,96,63,1.41,broken clouds
87,Khatanga,RU,71.9667,102.5,-29.6,100,80,1.59,broken clouds
88,Jhawarian,PK,32.3614,72.6228,56.79,35,6,4.29,clear sky
89,Corinto,GR,37.9407,22.9573,46.89,72,1,8.01,clear sky
90,Gossaigaon,IN,26.4481,89.989,59.27,56,0,2.13,clear sky
91,Victoria,HK,22.2855,114.1577,64.45,84,79,15.01,broken clouds
92,Lagoa,PT,39.05,-27.9833,57.79,80,9,22.79,clear sky
93,Kinablangan,PH,7.6947,126.5503,76.73,85,59,5.66,broken clouds
94,Wageningen,NL,51.9667,5.6667,47.95,94,75,11.5,broken clouds
95,Carnarvon,AU,-24.8667,113.6333,82.35,65,55,12.35,broken clouds
96,Batemans Bay,AU,-35.7167,150.1833,60.04,64,1,5.61,clear sky
97,Savannah Bight,HN,16.45,-85.85,78.76,75,5,13.47,clear sky
98,Peleduy,RU,59.6289,112.7406,6.93,95,100,10.96,light snow
99,Hofn,IS,64.2539,-15.2082,39.07,90,100,17.27,light rain
100,Lagos,NG,6.5833,3.75,84.52,76,9,7.02,clear sky
101,Puerto Baquerizo Moreno,EC,-0.9,-89.6,83.39,79,75,2.3,broken clouds
102,Oranjemund,NA,-28.55,16.4333,62.64,86,0,17.49,clear sky
103,Caravelas,BR,-17.7125,-39.2481,83.75,57,0,10.09,clear sky
104,Brae,GB,60.3964,-1.353,48.56,92,100,27.85,light rain
105,Koumac,NC,-20.5667,164.2833,77.38,76,99,4.38,overcast clouds
106,Evensk,RU,61.95,159.2333,-6.29,85,26,7.81,scattered clouds
107,Fort Nelson,CA,58.8053,-122.7002,-10.05,75,75,1.99,broken clouds
108,Cape Town,ZA,-33.9258,18.4232,68.09,65,0,17.27,clear sky
109,Bilibino,RU,68.0546,166.4372,1.6,95,100,1.97,overcast clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,73.62,59,0,4.0,clear sky
111,Dikson,RU,73.5069,80.5464,3.6,93,100,7.38,overcast clouds
112,Souillac,MU,-20.5167,57.5167,79.18,83,40,2.3,light rain
113,Caracoli,CO,6.4119,-74.7606,87.94,41,42,4.38,scattered clouds
114,Port Lincoln,AU,-34.7333,135.8667,58.91,55,100,21.77,overcast clouds
115,Ponta Do Sol,PT,32.6667,-17.1,62.01,44,39,9.15,scattered clouds
116,Santa Marta,CO,11.2408,-74.199,93.25,50,20,12.66,few clouds
117,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,19.57,scattered clouds
118,Valley City,US,46.9233,-98.0032,-8.88,64,0,21.85,clear sky
119,Port Blair,IN,11.6667,92.75,78.84,78,40,2.3,mist
120,Ginir,ET,7.1333,40.7,63.12,31,96,4.74,overcast clouds
121,Itaituba,BR,-4.2761,-55.9836,87.96,62,75,5.75,broken clouds
122,Quibdo,CO,5.6947,-76.6611,84.54,74,75,5.75,broken clouds
